Ad-Hoc Wireless Network in Chain Topologies - 15 Nodes, 3 Channels, 3 Interfaces
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 9, target is: -1, ttl: 2
now the address source is: 10, target is: -1, ttl: 2
now the address source is: 10, target is: -1, ttl: 2
now the address source is: 10, target is: -1, ttl: 2
now the address source is: 10, target is: -1, ttl: 2
now the address source is: 10, target is: -1, ttl: 2
now the address source is: 10, target is: -1, ttl: 2
now the address source is: 10, target is: -1, ttl: 2
now the address source is: 10, target is: -1, ttl: 2
now the address source is: 10, target is: -1, ttl: 2
now the address source is: 10, target is: -1, ttl: 2
now the address source is: 10, target is: -1, ttl: 2
now the address source is: 10, target is: -1, ttl: 2
